Resistance	Thickness	Time_R	Time_T
3628	0.064	15:10:33.801644	15:10:33.801929
2861	0.066	15:10:34.099160	15:10:34.099478
2316	0.066	15:10:34.286920	15:10:34.300971
1940	0.066	15:10:34.493326	15:10:34.501554
1400.7	0.068	15:10:34.799979	15:10:34.800695
1238.9	0.069	15:10:35.286943	15:10:35.301306
1102.8	0.07	15:10:35.585626	15:10:35.599472
993.6	0.071	15:10:35.790486	15:10:35.804538
899.3	0.072	15:10:36.087634	15:10:36.102476
821.6	0.072	15:10:36.292965	15:10:36.293387
754.8	0.073	15:10:36.593552	15:10:36.593824
694.8	0.074	15:10:36.796549	15:10:36.796822
644.2	0.075	15:10:37.093155	15:10:37.093428
598.5	0.075	15:10:37.290832	15:10:37.291112
558.9	0.076	15:10:37.493157	15:10:37.493447
522.5	0.077	15:10:37.791587	15:10:37.791858
491.1	0.078	15:10:37.994685	15:10:37.994954
462.1	0.079	15:10:38.293616	15:10:38.293890
436.6	0.08	15:10:38.497835	15:10:38.498101
413.5	0.08	15:10:38.796728	15:10:38.796998
392.4	0.081	15:10:38.985427	15:10:39.000204
373.2	0.082	15:10:39.191796	15:10:39.204182
355.2	0.083	15:10:39.486096	15:10:39.500215
339.1	0.084	15:10:39.690902	15:10:39.702175
323.8	0.085	15:10:39.986012	15:10:39.999792
310.4	0.085	15:10:40.189009	15:10:40.203245
297.3	0.086	15:10:40.486075	15:10:40.500229
285.6	0.087	15:10:40.687064	15:10:40.701399
274.8	0.088	15:10:40.998645	15:10:40.998921
264.6	0.089	15:10:41.187118	15:10:41.201285
255.2	0.089	15:10:41.486906	15:10:41.520962
246.1	0.09	15:10:41.690831	15:10:41.691115
229.9	0.092	15:10:42.084853	15:10:42.099696
222.6	0.093	15:10:42.491549	15:10:42.491818
215.7	0.094	15:10:42.696914	15:10:42.697199
209.3	0.095	15:10:43.013611	15:10:43.013924
203.3	0.096	15:10:43.188171	15:10:43.221762
197.1	0.096	15:10:43.395023	15:10:43.395296
191.6	0.097	15:10:43.691910	15:10:43.692178
180.41	0.098	15:10:43.894298	15:10:43.894581
175.93	0.1	15:10:44.392869	15:10:44.393505
171.2	0.101	15:10:44.690615	15:10:44.690887
166.99	0.101	15:10:44.893453	15:10:44.893729
163.18	0.102	15:10:45.190500	15:10:45.190776
159.29	0.103	15:10:45.394406	15:10:45.394700
155.2	0.104	15:10:45.691280	15:10:45.691807
151.69	0.105	15:10:45.894670	15:10:45.894956
148.36	0.106	15:10:46.191155	15:10:46.191427
144.86	0.106	15:10:46.394009	15:10:46.394282
141.63	0.107	15:10:46.691267	15:10:46.691534
138.74	0.109	15:10:46.895571	15:10:46.895840
135.89	0.109	15:10:47.098585	15:10:47.099141
132.72	0.11	15:10:47.395179	15:10:47.395450
130.08	0.11	15:10:47.597438	15:10:47.597715
127.75	0.112	15:10:47.895583	15:10:47.895847
125.23	0.112	15:10:48.098484	15:10:48.098777
122.76	0.113	15:10:48.397655	15:10:48.397934
120.38	0.114	15:10:48.584967	15:10:48.599498
118.11	0.115	15:10:48.883917	15:10:48.898725
116.19	0.116	15:10:49.087325	15:10:49.101635
114.03	0.117	15:10:49.383762	15:10:49.398399
111.63	0.118	15:10:49.587170	15:10:49.601244
109.72	0.119	15:10:49.788587	15:10:49.789072
107.81	0.12	15:10:50.085233	15:10:50.099983
105.84	0.121	15:10:50.287585	15:10:50.287895
104.08	0.122	15:10:50.584656	15:10:50.599385
102.41	0.123	15:10:50.787710	15:10:50.787994
100.39	0.124	15:10:51.085059	15:10:51.099578
98.73	0.125	15:10:51.287700	15:10:51.288203
97.17	0.126	15:10:51.588329	15:10:51.588598
95.78	0.126	15:10:51.792634	15:10:51.792899
94.07	0.128	15:10:51.994825	15:10:51.995085
92.35	0.129	15:10:52.291519	15:10:52.291781
90.87	0.13	15:10:52.496612	15:10:52.496951
89.14	0.131	15:10:52.796053	15:10:52.796318
87.55	0.133	15:10:53.098910	15:10:53.099218
86.33	0.134	15:10:53.286578	15:10:53.309155
84.93	0.136	15:10:53.587410	15:10:53.587678
83.5	0.137	15:10:53.798179	15:10:53.798510
81.86	0.138	15:10:53.997494	15:10:53.998026
80.65	0.14	15:10:54.295939	15:10:54.296504
79.5	0.141	15:10:54.595215	15:10:54.595722
78.36	0.142	15:10:54.689424	15:10:54.689778
76.8	0.143	15:10:54.988781	15:10:54.989310
75.63	0.145	15:10:55.287164	15:10:55.287508
74.8	0.146	15:10:55.491998	15:10:55.492365
73.63	0.147	15:10:55.695064	15:10:55.695368
72.46	0.149	15:10:55.994828	15:10:55.995273
71.31	0.151	15:10:56.300056	15:10:56.300456
70.24	0.152	15:10:56.496576	15:10:56.496832
69.55	0.153	15:10:56.683623	15:10:56.698700
68.59	0.155	15:10:57.018306	15:10:57.018795
67.3	0.156	15:10:57.188704	15:10:57.188968
66.46	0.157	15:10:57.490243	15:10:57.490498
65.77	0.159	15:10:57.693950	15:10:57.694260
64.81	0.161	15:10:57.999385	15:10:57.999641
63.96	0.162	15:10:58.182260	15:10:58.196799
63.26	0.163	15:10:58.385505	15:10:58.399651
62.24	0.165	15:10:58.681910	15:10:58.696898
61.42	0.166	15:10:58.883064	15:10:58.884298
60.68	0.168	15:10:59.195489	15:10:59.195759
60.28	0.169	15:10:59.384582	15:10:59.385281
59.51	0.171	15:10:59.680589	15:10:59.695342
58.62	0.172	15:10:59.884954	15:10:59.899523
58.05	0.175	15:11:00.199563	15:11:00.199932
57.36	0.175	15:11:00.390689	15:11:00.391024
56.64	0.176	15:11:00.592396	15:11:00.592641
56.24	0.179	15:11:00.888879	15:11:00.889152
55.7	0.18	15:11:01.190105	15:11:01.190399
55.11	0.182	15:11:01.395155	15:11:01.395428
54.45	0.183	15:11:01.591383	15:11:01.598505
53.79	0.185	15:11:01.884576	15:11:01.907276
53.26	0.187	15:11:02.088696	15:11:02.089061
52.84	0.188	15:11:02.385936	15:11:02.386222
52.03	0.19	15:11:02.589931	15:11:02.590200
51.46	0.191	15:11:02.792542	15:11:02.792914
51.29	0.193	15:11:03.087259	15:11:03.087603
50.77	0.195	15:11:03.292961	15:11:03.293362
49.99	0.197	15:11:03.590642	15:11:03.590884
49.63	0.198	15:11:03.793494	15:11:03.793743
49.33	0.2	15:11:04.090767	15:11:04.091009
48.88	0.201	15:11:04.292490	15:11:04.292740
48.45	0.202	15:11:04.497144	15:11:04.497785
48.36	0.203	15:11:04.793244	15:11:04.793493
48.1	0.205	15:11:05.115001	15:11:05.115280
47.48	0.205	15:11:05.279439	15:11:05.293969
47.23	0.207	15:11:05.594570	15:11:05.594929
47.25	0.207	15:11:05.783523	15:11:05.798616
46.92	0.208	15:11:05.985885	15:11:05.986394
46.54	0.209	15:11:06.282510	15:11:06.296586
46.44	0.21	15:11:06.485020	15:11:06.485428
46.12	0.211	15:11:06.781467	15:11:06.809384
45.83	0.211	15:11:06.986784	15:11:06.987395
45.6	0.212	15:11:07.296822	15:11:07.297254
45.74	0.212	15:11:07.489195	15:11:07.489465
45.52	0.213	15:11:07.786447	15:11:07.786689
45.06	0.213	15:11:07.990406	15:11:07.990659
44.98	0.214	15:11:08.289418	15:11:08.289675
44.89	0.215	15:11:08.492548	15:11:08.492923
44.62	0.216	15:11:08.791185	15:11:08.791424
44.57	0.216	15:11:08.980593	15:11:09.006186
44.51	0.216	15:11:09.198318	15:11:09.198597
44.07	0.218	15:11:09.481961	15:11:09.497840
43.89	0.218	15:11:09.686068	15:11:09.686776
44.07	0.219	15:11:09.982686	15:11:09.997670
43.89	0.219	15:11:10.189508	15:11:10.189951
43.42	0.22	15:11:10.586512	15:11:10.586924
43.21	0.221	15:11:10.992222	15:11:10.992462
43.37	0.221	15:11:11.182230	15:11:11.196847
43.26	0.222	15:11:11.481788	15:11:11.496719
42.8	0.223	15:11:11.686078	15:11:11.686564
42.72	0.223	15:11:11.890222	15:11:11.890818
42.69	0.224	15:11:12.204550	15:11:12.204855
42.68	0.225	15:11:12.377659	15:11:12.392583
42.63	0.225	15:11:12.677581	15:11:12.692200
42.2	0.226	15:11:12.880968	15:11:12.896012
42.08	0.226	15:11:13.180570	15:11:13.195634
42.28	0.227	15:11:13.384604	15:11:13.384960
42.11	0.228	15:11:13.682932	15:11:13.683303
41.89	0.228	15:11:13.897344	15:11:13.897733
41.67	0.229	15:11:14.092789	15:11:14.093343
41.51	0.23	15:11:14.391016	15:11:14.391375
41.4	0.23	15:11:14.582465	15:11:14.593706
41.36	0.231	15:11:14.878814	15:11:14.893641
41.44	0.232	15:11:15.083668	15:11:15.083912
41.22	0.232	15:11:15.289440	15:11:15.289843
41.13	0.233	15:11:15.593885	15:11:15.594462
41.12	0.234	15:11:15.786072	15:11:15.793225
40.82	0.235	15:11:16.077148	15:11:16.091413
40.66	0.235	15:11:16.281449	15:11:16.295532
40.86	0.236	15:11:16.578748	15:11:16.593126
40.76	0.237	15:11:16.879065	15:11:16.899181
40.6	0.238	15:11:17.085243	15:11:17.085629
40.29	0.238	15:11:17.290380	15:11:17.290642
40.29	0.239	15:11:17.590909	15:11:17.591394
40.19	0.24	15:11:17.781570	15:11:17.781884
39.99	0.241	15:11:18.080623	15:11:18.094767
40.05	0.241	15:11:18.284693	15:11:18.284949
40.04	0.243	15:11:18.581431	15:11:18.597615
39.62	0.243	15:11:18.788115	15:11:18.788447
39.51	0.244	15:11:18.992597	15:11:18.993081
39.46	0.245	15:11:19.287541	15:11:19.287843
39.58	0.246	15:11:19.490428	15:11:19.490766
39.4	0.247	15:11:19.788910	15:11:19.789255
39.24	0.248	15:11:19.984685	15:11:19.992848
39.25	0.249	15:11:20.279310	15:11:20.293515
39.01	0.249	15:11:20.483134	15:11:20.483568
38.83	0.251	15:11:20.780821	15:11:20.795130
39.04	0.251	15:11:20.984196	15:11:20.984442
38.95	0.252	15:11:21.298855	15:11:21.299291
38.52	0.253	15:11:21.488193	15:11:21.488612
38.46	0.254	15:11:21.689460	15:11:21.691412
38.46	0.255	15:11:21.990641	15:11:21.991005
38.47	0.256	15:11:22.180348	15:11:22.194560
38.47	0.257	15:11:22.477818	15:11:22.492016
38.39	0.257	15:11:22.676410	15:11:22.690362
38.23	0.258	15:11:22.889355	15:11:22.892553
37.93	0.26	15:11:23.176385	15:11:23.191385
37.94	0.26	15:11:23.384302	15:11:23.384975
37.86	0.261	15:11:23.679303	15:11:23.694243
37.67	0.262	15:11:23.882317	15:11:23.882556
37.76	0.263	15:11:24.177467	15:11:24.192196
37.75	0.264	15:11:24.379064	15:11:24.393840
37.66	0.265	15:11:24.678513	15:11:24.692528
37.25	0.266	15:11:24.881302	15:11:24.881542
37.23	0.267	15:11:25.181520	15:11:25.181766
37.36	0.268	15:11:25.383115	15:11:25.383364
37.18	0.269	15:11:25.681024	15:11:25.681262
37.06	0.27	15:11:25.885677	15:11:25.885935
37.08	0.271	15:11:26.089500	15:11:26.090292
36.8	0.272	15:11:26.387233	15:11:26.387476
36.65	0.273	15:11:26.575173	15:11:26.589782
36.56	0.274	15:11:26.888594	15:11:26.888832
36.54	0.274	15:11:27.076420	15:11:27.090961
36.56	0.275	15:11:27.388571	15:11:27.388934
36.46	0.277	15:11:27.576739	15:11:27.591722
36.29	0.278	15:11:27.889266	15:11:27.889505
36.43	0.278	15:11:28.075892	15:11:28.090631
36.33	0.279	15:11:28.279071	15:11:28.279769
36.24	0.28	15:11:28.576031	15:11:28.590825
36.2	0.28	15:11:28.778009	15:11:28.792689
36.1	0.281	15:11:29.089379	15:11:29.089645
36.04	0.281	15:11:29.275267	15:11:29.290178
36.05	0.281	15:11:29.574218	15:11:29.588983
36.01	0.281	15:11:29.778182	15:11:29.792204
35.96	0.282	15:11:30.075134	15:11:30.090111
35.84	0.282	15:11:30.399178	15:11:30.399777
35.85	0.282	15:11:30.789049	15:11:30.789420
35.83	0.282	15:11:31.091052	15:11:31.091358
35.73	0.282	15:11:31.276678	15:11:31.291226
35.69	0.282	15:11:31.578546	15:11:31.592931
35.72	0.282	15:11:31.784570	15:11:31.784847
35.5	0.282	15:11:33.379740	15:11:33.381784
35.45	0.282	15:11:34.073189	15:11:34.087287
35.41	0.282	15:11:34.479744	15:11:34.479993
35.35	0.282	15:11:34.683377	15:11:34.683645
35.35	0.283	15:11:34.983244	15:11:34.983498
35.31	0.283	15:11:35.186936	15:11:35.187211
35.27	0.283	15:11:35.390711	15:11:35.391325
35.29	0.283	15:11:35.673304	15:11:35.688104
35.28	0.283	15:11:35.987612	15:11:35.989034
35.21	0.283	15:11:36.177638	15:11:36.191750
35.19	0.283	15:11:36.381075	15:11:36.381394
35.17	0.283	15:11:36.681675	15:11:36.681931
35.17	0.283	15:11:36.883829	15:11:36.884120
35.13	0.283	15:11:37.179226	15:11:37.179519
35.11	0.283	15:11:37.382726	15:11:37.382976
35.11	0.283	15:11:37.586270	15:11:37.586901
35.06	0.283	15:11:37.881461	15:11:37.881711
35.02	0.283	15:11:38.085576	15:11:38.085829
35.08	0.283	15:11:38.381670	15:11:38.381920
35.03	0.283	15:11:38.587543	15:11:38.588024
